
    raters , gender , age , birthplace   , current residence , L1 \\
    rater1 , male  , 25    , florida , florida , English \\
    rater2 , male  , 49    , new jersey , florida , English \\
    rater3 , female , 28    , california , usa   , English \\
    rater4 , male  , 35    , new jersey , new jersey , English \\
    rater5 , female , 30    , new york , new york , English \\
    rater6 , male  , 22    , texas , texas , English \\
    rater7 , male  , 46    , new hampshire , florida , English \\
    rater8 , male  , 40    , california , california , English \\
    rater9 , male  , 25    , usa   , new york , English \\
    rater10 , male  , 45    , wisconsin , florida , English \\
    rater11 , NA    , 60    , maryland , oregon , English \\
    rater12 , female , 26    , california , california , English \\
    rater13 , male  , 39    , nevada , iowa  , English \\
    rater14 , male  , 39    , new york , virginia , English \\
    rater15 , male  , 29    , illinois , illinois , English \\
    rater16 , female , 24    , california , california , English \\
    rater17 , male  , 29    , texas , texas , English \\
    rater18 , male  , 65    , colorado , colorado , English \\
    rater19 , female , 36    , kansas , kansas , English \\
    rater20 , female , 58    , north carolina , georgia , English \\
    rater21 , male  , 31    , pennsylvania , pennsylvania , English \\
    rater22 , male  , 44    , new jersey , new jersey , English \\
    rater23 , male  , 28    , arizona , arizona , English \\
    rater24 , female , 37    , iowa  , iowa  , English \\
    rater25 , female , 46    , california , california , English \\
    rater26 , female , 24    , washington , idaho , English \\
    rater27 , female , 35    , mississippi , idaho , English \\
    rater28 , male  , 25    , california , california , English \\
    rater29 , male  , 46    , idaho , idaho , English \\
    rater30 , female , 28    , california , washington , English \\
    rater31 , female , 45    , pennsylvania , virginia , English \\
    rater32 , male  , 32    , virginia , virginia , English \\
    rater33 , male  , 40    , california , virginia , English \\
    rater34 , male  , 28    , virginia , virginia , English \\
    rater35 , male  , 31    , virginia , virginia , English \\
    rater36 , male  , 33    , minnesota , minnesota , English \\
    rater37 , female , 46    , california , california , English \\
    rater38 , NA    , 41    , rhode island , new york , English \\
    rater39 , female , 51    , texas , texas , English \\
    rater40 , male  , 35    , usa   , usa   , English \\
    rater41 , female , 42    , new york , usa   , English \\
    rater42 , female , 40    , tennessee , tennessee , English \\
    rater43 , male  , 35    , new york , new york , English \\
    rater44 , female , 34    , new jersey , new jersey , English \\
    rater45 , male  , 53    , kentucky , indiana , English \\
    rater46 , male  , 42    , arizona , california , English \\
    rater47 , male  , 27    , illinois , illinois , English \\
    rater48 , male  , 35    , texas , texas , English \\
    rater49 , female , 52    , michigan , michigan , English \\
    rater50 , female , 34    , usa   , usa   , English \\
    rater51 , NA    , 25    , usa   , minnesota , English \\
    rater52 , male  , 57    , ohio  , oklahoma , English \\
    rater53 , female , 48    , michigan , michigan , English \\
    rater54 , male  , 64    , new york , florida , English \\
    rater55 , male  , 27    , usa   , usa   , English \\
    rater56 , female , 34    , west virginia , west virginia , English \\
    rater57 , female , 29    , texas , texas , English \\
    rater58 , female , 30    , pennsylvania , pennsylvania , English \\
    rater59 , female , 57    , new york , new york , English \\
    rater60 , male  , 32    , pennsylvania , pennsylvania , English \\
    rater61 , male  , 51    , new jersey , new jersey , English \\
    rater62 , male  , 35    , new jersey , new jersey , English \\
    rater63 , male  , 35    , california , pennsylvania , English \\
    rater64 , female , 43    , virginia , virginia , English \\
    rater65 , NA    , 38    , rhode island , new york , English \\
    rater66 , male  , 55    , ohio  , florida , English \\
    rater67 , female , 27    , new york , new york , English \\
    rater68 , female , 49    , illinois , illinois , English \\
    rater69 , male  , 27    , florida , florida , English \\
    rater70 , male  , 37    , california , arkansas , English \\
    rater71 , female , 63    , south carolina , arkansas , English \\
    rater72 , female , 64    , colorado , washington , English \\
    rater73 , male  , 35    , new york , new york , English \\
    rater74 , male  , 69    , new jersey , new jersey , English \\
    rater75 , female , 48    , new york , new york , English \\
    rater76 , male  , 39    , michigan , michigan , English \\
    rater77 , female , 24    , california , california , English \\
    rater78 , male  , 44    , new jersey , new jersey , English \\
    rater79 , female , 36    , illinois , wisconsin , English \\
    rater80 , male  , 36    , california , california , English \\
    rater81 , female , 54    , south dakota , michigan , English \\
    rater82 , female , 69    , michigan , michigan , English \\
    rater83 , female , 45    , michigan , michigan , English \\
    rater84 , female , 56    , indiana , indiana , English \\
    rater85 , male  , 31    , new york , delaware , English \\
    rater86 , male  , 23    , rhode island , rhode island , English \\
    rater87 , female , 59    , indiana , indiana , English \\
    rater88 , female , 64    , pennsylvania , pennsylvania , English \\
    rater89 , male  , 32    , usa   , usa   , English \\
    rater90 , male  , 25    , california , california , English \\
    rater91 , female , 42    , south carolina , indiana , English \\
    rater92 , male  , 26    , virginia , ohio  , English \\
    rater93 , female , 38    , new york , virginia , English \\
    rater94 , female , 29    , virginia , virginia , English \\
    rater95 , female , 36    , virginia , virginia , English \\
    rater96 , male  , 25    , dc    , virginia , English \\
    rater97 , female , 50    , west virginia , virginia , English \\
    rater98 , male  , 26    , tennessee , west virginia , English \\
    rater99 , NA    , 40    , virginia , virginia , English \\
    rater100 , female , 32    , ohio  , virginia , English \\
    rater101 , female , 33    , new york , virginia , English \\
    rater102 , NA    , 50    , washington , california , English \\
    rater103 , female , 45    , usa   , illinois , English \\
    rater104 , male  , 29    , texas , texas , English \\
    rater105 , male  , 57    , washington , washington , English \\
    rater106 , male  , 28    , michigan , michigan , English \\
