    speakers 	 birthplace   	 age 	 gender 	 current residence 	
    english1 	 pennsylvania 	42	 male  	 usa 	
    english10 	 iowa  	35	 female 	 usa 	
    english100 	 florida 	23	 female 	 usa 	
    english102 	 connecticut 	22	 male  	 usa 	
    english103 	 new york 	21	 male  	 usa 	
    english104 	 ohio  	18	 female 	 usa 	
    english106 	 california 	39	 female 	 usa 	
    english107 	 illinois 	19	 male  	 usa 	
    english109 	 new hampshire 	26	 female 	 usa 	
    english112 	 us virgin islands 	21	 male  	 us virgin islands 	
    english114 	 alabama 	38	 female 	 usa 	
    english116 	 georgia 	56	 male  	 usa 	
    english117 	 alabama 	60	 female 	 usa 	
    english118 	 ohio  	19	 male  	 usa 	
    english121 	 minnesota 	21	 male  	 usa 	
    english123 	 california 	28	 female 	 usa; uk	
    english124 	 new york 	38	 male  	 usa 	
    english126 	 ohio  	34	 female 	 usa 	
    english127 	 connecticut 	39	 male  	 usa 	
    english128 	 florida 	20	 female 	 usa 	
    english131 	 florida 	23	 male  	 usa 	
    english133 	 new york 	36	 female 	 usa 	
    english135 	 alabama 	22	 male  	 usa 	
    english137 	 west virginia 	26	 male  	 usa 	
    english138 	 alaska 	25	 female 	 usa 	
    english139 	 rhode island 	20	 male  	 usa 	
    english142 	 new york 	19	 male  	 usa 	
    english143 	 minnesota 	42	 male  	 usa; uk	 
    english146 	 arkansas 	22	 male  	 usa 	
    english147 	 california 	40	 female 	 usa 	
    english149 	 georgia 	18	 male  	 usa 	
    english150 	 kentucky 	31	 male  	 usa 	
    english151 	 maryland 	18	 male  	 usa 	
    english155 	 california 	35	 male  	 usa 	
    english157 	 texas 	35	 male  	 usa 	
    english158 	 district of columbia 	18	 female 	 usa 	
    english16 	 virginia 	21	 male  	 usa 	
    english160 	 minnesota 	21	 female 	 usa 	
    english161 	 ohio  	75	 female 	 usa 	
    english162 	 ohio  	41	 female 	 usa 	
    english163 	 ohio  	41	 male  	 usa 	
    english165 	 michigan 	43	 female 	 usa 	
    english166 	 pennsylvania 	18	 male  	 usa 	
    english167 	 michigan 	43	 male  	 usa 	
    english168 	 california 	40	 male  	 usa 	
    english169 	 mississippi 	18	 male  	 usa 	
    english17 	 virginia 	79	 male  	 usa 	
    english170 	 mississippi 	50	 female 	 usa 	
    english26 	 maryland 	71	 male  	 usa 	
    english27 	 maryland 	37	 female 	 usa 	
    english32 	 california 	50	 female 	 usa 	
    english33 	 california 	21	 male  	 usa 	
    english34 	 new york 	18	 female 	 usa 	
    english35 	 wisconsin 	60	 female 	 usa 	
    english36 	 wisconsin 	60	 male  	 usa 	
    english39 	 louisiana 	59	 female 	 usa 	
    english44 	 north carolina 	63	 female 	 usa 	
    english45 	 arkansas 	52	 male  	 usa 	
    english46 	 north carolina 	73	 male  	 usa 	
    english47 	 arkansas 	76	 female 	 usa 	
    english49 	 california 	43	 male  	 usa 	
    english5 	 virginia 	62	 male  	 usa 	
    english50 	 south dakota 	29	 female 	 usa 	
    english51 	 michigan 	67	 male  	 usa 	
    english53 	 new york 	63	 male  	 usa 	
    english54 	 indiana 	40	 female 	 usa 	
    english55 	 missouri 	53	 female 	 usa 	
    english59 	 ohio  	30	 male  	 usa 	
    english6 	 new york 	45	 female 	 usa 	
    english60 	 virginia 	18	 male  	 usa 	
    english62 	 utah  	30	 male  	 usa 	
    english63 	 texas 	21	 male  	 usa 	
    english65 	 pennsylvania 	47	 male  	 usa 	
    english66 	 maryland 	19	 male  	 usa 	
    english67 	 indiana 	37	 male  	 usa 	
    english68 	 new york 	52	 male  	 usa 	
    english7 	 mississippi 	52	 male  	 usa 	
    english70 	 texas 	21	 male  	 usa 	
    english71 	 california 	20	 male  	 usa 	
    english74 	 kansas 	21	 male  	 usa 	
    english75 	 idaho 	32	 male  	 usa 	
    english76 	 massachusetts 	18	 female 	 usa 	
    english78 	 maine 	20	 female 	 usa 	
    english79 	 massachusetts 	73	 male  	 usa 	
    english81 	 minnesota 	30	 male  	 usa 	
    english82 	 illinois 	50	 female 	 usa 	
    english83 	 louisiana 	42	 female 	 usa 	
    english86 	 south carolina 	50	 male  	 usa 	
    english88 	 michigan 	18	 male  	 usa 	
    english89 	 massachusetts 	18	 male  	 usa 	
    english9 	 texas 	48	 female 	 usa 	
    english90 	 pennsylvania 	53	 male  	 usa 	
    english92 	 wisconsin 	22	 female 	 usa 	
    english93 	 louisiana 	22	 female 	 usa 	
    english94 	 florida 	55	 female 	 usa 	
    english95 	 indiana 	18	 male  	 usa 	
    english96 	 new jersey 	31	 male  	 usa 	
    english97 	 north carolina 	42	 male  	 usa 	
    english98 	 washington 	22	 male  	 usa 	
    english99 	 pennsylvania 	52	 female 	 usa 	
